phase,trial,counts,energies,success,iteration,bias_strength
baseline,40,"{'1111': 62, '0001': 62, '1110': 68, '1101': 68, '1011': 68, '0111': 62, '0011': 76, '0101': 73, '1001': 60, '1100': 63, '0110': 56, '1000': 61, '0000': 57, '0010': 70, '0100': 59, '1010': 59}","{'H_AFM': np.float64(0.01953125), 'H_FM': np.float64(-0.01953125), 'H_TF': np.float64(0.0)}",False,,
baseline,41,"{'0010': 72, '0111': 58, '0011': 71, '1011': 58, '1010': 66, '1001': 63, '0101': 61, '1110': 78, '1100': 64, '0000': 67, '0001': 74, '1111': 59, '1101': 57, '1000': 54, '0110': 71, '0100': 51}","{'H_AFM': np.float64(0.03515625), 'H_FM': np.float64(0.03515625), 'H_TF': np.float64(0.0)}",False,,
baseline,42,"{'0000': 64, '0010': 73, '0100': 63, '1100': 66, '1000': 62, '0110': 66, '1101': 68, '1010': 51, '1001': 59, '0101': 71, '1110': 71, '1111': 62, '0001': 53, '1011': 67, '0111': 65, '0011': 63}","{'H_AFM': np.float64(0.0078125), 'H_FM': np.float64(-0.0234375), 'H_TF': np.float64(0.0)}",False,,
baseline,43,"{'1010': 52, '1110': 70, '1101': 76, '0110': 64, '1000': 66, '1100': 65, '1011': 64, '0011': 64, '0111': 60, '0000': 53, '0010': 70, '0100': 69, '1111': 51, '0001': 69, '1001': 67, '0101': 64}","{'H_AFM': np.float64(0.01171875), 'H_FM': np.float64(0.06640625), 'H_TF': np.float64(0.0)}",False,,
baseline,44,"{'1011': 56, '0001': 64, '0111': 54, '0011': 80, '1101': 86, '1110': 72, '0101': 62, '1001': 69, '1100': 61, '0110': 63, '1000': 54, '0000': 51, '0010': 50, '0100': 67, '1010': 73, '1111': 62}","{'H_AFM': np.float64(0.013671875), 'H_FM': np.float64(0.064453125), 'H_TF': np.float64(0.0)}",False,,
baseline,45,"{'1100': 64, '0010': 57, '0100': 52, '1010': 58, '1011': 50, '0011': 64, '0111': 63, '1101': 72, '0110': 55, '1000': 90, '1110': 65, '1001': 74, '0101': 61, '0000': 61, '1111': 72, '0001': 66}","{'H_AFM': np.float64(-0.017578125), 'H_FM': np.float64(-0.068359375), 'H_TF': np.float64(0.0)}",False,,
baseline,46,"{'0001': 73, '1111': 75, '0100': 58, '1110': 58, '1011': 68, '0011': 68, '0111': 67, '0110': 72, '1000': 64, '1100': 63, '0101': 60, '1001': 61, '0000': 70, '0010': 59, '1010': 54, '1101': 54}","{'H_AFM': np.float64(0.07421875), 'H_FM': np.float64(-0.0390625), 'H_TF': np.float64(0.0)}",False,,
baseline,47,"{'0001': 54, '1111': 68, '0100': 75, '1110': 66, '1001': 70, '0101': 61, '1011': 54, '0011': 60, '0111': 76, '0000': 75, '0010': 54, '1100': 55, '1101': 65, '1000': 61, '0110': 65, '1010': 65}","{'H_AFM': np.float64(-0.03125), 'H_FM': np.float64(-0.01953125), 'H_TF': np.float64(0.0)}",False,,
baseline,48,"{'0100': 76, '1010': 41, '0010': 53, '1100': 61, '0000': 66, '0011': 60, '0111': 67, '1011': 60, '1001': 68, '0101': 77, '1110': 73, '1101': 55, '1000': 64, '0110': 73, '0001': 63, '1111': 67}","{'H_AFM': np.float64(0.033203125), 'H_FM': np.float64(0.052734375), 'H_TF': np.float64(0.0)}",False,,
baseline,49,"{'1100': 64, '1111': 61, '0000': 78, '0010': 55, '0001': 55, '1110': 43, '1001': 66, '0101': 64, '0111': 67, '0011': 61, '1011': 77, '0100': 69, '1010': 62, '1000': 82, '0110': 56, '1101': 64}","{'H_AFM': np.float64(-0.009765625), 'H_FM': np.float64(-0.072265625), 'H_TF': np.float64(0.0)}",False,,
