trial,counts,energies
45,"{'1111': 2, '1001': 9, '0101': 185, '1110': 52, '0000': 171, '0010': 5, '1100': 9, '1000': 170, '0110': 56, '1101': 207, '1011': 50, '0011': 58, '0100': 11, '0001': 13, '1010': 2}","{'H_AFM': 0.4560000000000003, 'H_FM': 0.4560000000000003, 'H_TF': 0.4560000000000003, 'H_XY': 0.4560000000000003, 'H_RF': 0.4560000000000003}"
46,"{'1011': 19, '1010': 36, '1110': 31, '0001': 112, '1111': 17, '0010': 44, '0000': 174, '0101': 11, '1001': 25, '1100': 195, '1101': 143, '1000': 36, '0110': 61, '0011': 50, '0111': 36, '0100': 10}","{'H_AFM': 0.5740000000000001, 'H_FM': 0.5740000000000001, 'H_TF': 0.5740000000000001, 'H_XY': 0.5740000000000001, 'H_RF': 0.5740000000000001}"
47,"{'0001': 1, '1011': 3, '1010': 12, '1101': 101, '1110': 30, '0011': 17, '0111': 163, '0110': 13, '1000': 156, '0101': 59, '1001': 75, '1100': 78, '0010': 208, '0000': 20, '0100': 14, '1111': 50}","{'H_AFM': 0.0439999999999999, 'H_FM': 0.0439999999999999, 'H_TF': 0.0439999999999999, 'H_XY': 0.0439999999999999, 'H_RF': 0.0439999999999999}"
48,"{'0001': 2, '1100': 3, '0100': 171, '0010': 41, '0000': 158, '1110': 272, '0101': 3, '1010': 135, '1000': 108, '0110': 99, '1011': 3, '0111': 1, '0011': 1, '1111': 3}","{'H_AFM': 0.712, 'H_FM': 0.712, 'H_TF': 0.712, 'H_XY': 0.712, 'H_RF': 0.712}"
49,"{'1111': 3, '1110': 54, '0001': 159, '0010': 181, '0000': 29, '1100': 9, '0101': 131, '1001': 68, '0100': 19, '1010': 68, '1000': 13, '0110': 132, '1101': 77, '1011': 9, '0011': 27, '0111': 21}","{'H_AFM': 0.526, 'H_FM': 0.526, 'H_TF': 0.526, 'H_XY': 0.526, 'H_RF': 0.526}"
50,"{'0000': 32, '0001': 35, '1010': 42, '0100': 106, '1110': 60, '0111': 26, '0011': 150, '1011': 130, '1101': 52, '1100': 130, '0101': 54, '1001': 37, '0110': 44, '1000': 39, '0010': 36, '1111': 27}","{'H_AFM': -0.08399999999999995, 'H_FM': -0.08399999999999995, 'H_TF': -0.08399999999999995, 'H_XY': -0.08399999999999995, 'H_RF': -0.08399999999999995}"
51,"{'1000': 2, '0110': 6, '1100': 14, '1011': 108, '0111': 139, '0011': 124, '1111': 92, '0001': 108, '1110': 8, '1101': 115, '0101': 105, '1001': 118, '0010': 20, '0000': 4, '0100': 15, '1010': 22}","{'H_AFM': -0.8019999999999999, 'H_FM': -0.8019999999999999, 'H_TF': -0.8019999999999999, 'H_XY': -0.8019999999999999, 'H_RF': -0.8019999999999999}"
52,"{'1110': 8, '1101': 55, '0000': 36, '0010': 80, '1100': 134, '0100': 126, '1010': 62, '1011': 25, '0011': 32, '0111': 61, '1001': 102, '0101': 50, '0001': 116, '1111': 60, '1000': 43, '0110': 10}","{'H_AFM': 0.33599999999999997, 'H_FM': 0.33599999999999997, 'H_TF': 0.33599999999999997, 'H_XY': 0.33599999999999997, 'H_RF': 0.33599999999999997}"
53,"{'1010': 2, '0110': 1, '1101': 43, '1110': 1, '0101': 12, '0001': 12, '0000': 92, '1001': 71, '1100': 293, '1000': 403, '0100': 70}","{'H_AFM': 1.25, 'H_FM': 1.25, 'H_TF': 1.25, 'H_XY': 1.25, 'H_RF': 1.25}"
54,"{'1010': 1, '0001': 15, '0000': 4, '0010': 74, '0111': 1, '0011': 420, '0110': 10, '0100': 398, '0101': 77}","{'H_AFM': 0.988, 'H_FM': 0.988, 'H_TF': 0.988, 'H_XY': 0.988, 'H_RF': 0.988}"
55,"{'1010': 16, '1111': 40, '0010': 56, '0000': 89, '1100': 35, '0111': 114, '0011': 48, '1011': 25, '0001': 100, '1110': 54, '1001': 33, '0101': 88, '0100': 117, '1101': 21, '1000': 28, '0110': 136}","{'H_AFM': 0.37, 'H_FM': 0.37, 'H_TF': 0.37, 'H_XY': 0.37, 'H_RF': 0.37}"
56,"{'0111': 14, '0011': 112, '1011': 17, '0000': 107, '0010': 133, '0001': 85, '1111': 120, '1101': 97, '1100': 106, '0110': 16, '1000': 20, '1001': 20, '0101': 25, '1110': 91, '1010': 22, '0100': 15}","{'H_AFM': 0.01600000000000007, 'H_FM': 0.01600000000000007, 'H_TF': 0.01600000000000007, 'H_XY': 0.01600000000000007, 'H_RF': 0.01600000000000007}"
57,"{'1011': 4, '1100': 15, '1010': 8, '1110': 251, '0101': 5, '1001': 23, '0000': 287, '0010': 16, '1111': 129, '0001': 126, '0100': 9, '1000': 51, '0110': 45, '1101': 7, '0011': 7, '0111': 17}","{'H_AFM': 0.47799999999999987, 'H_FM': 0.47799999999999987, 'H_TF': 0.47799999999999987, 'H_XY': 0.47799999999999987, 'H_RF': 0.47799999999999987}"
58,"{'0011': 39, '0111': 37, '1101': 8, '0010': 134, '0000': 23, '0110': 98, '1000': 35, '1100': 34, '1011': 56, '0100': 10, '1010': 284, '1110': 154, '1001': 15, '0101': 4, '0001': 7, '1111': 62}","{'H_AFM': -0.294, 'H_FM': -0.294, 'H_TF': -0.294, 'H_XY': -0.294, 'H_RF': -0.294}"
59,"{'1101': 1, '1000': 1, '0110': 240, '0111': 209, '0011': 213, '1011': 9, '0010': 220, '0000': 17, '1110': 10, '0100': 17, '1111': 8, '0001': 13, '0101': 31, '1001': 2, '1010': 9}","{'H_AFM': 0.08, 'H_FM': 0.08, 'H_TF': 0.08, 'H_XY': 0.08, 'H_RF': 0.08}"
60,"{'0000': 1, '1010': 1, '0001': 1, '1110': 31, '1100': 176, '0101': 94, '1001': 8, '1000': 7, '0110': 220, '1101': 256, '1011': 3, '0111': 136, '0011': 4, '0100': 49, '1111': 7, '0010': 6}","{'H_AFM': -0.7500000000000001, 'H_FM': -0.7500000000000001, 'H_TF': -0.7500000000000001, 'H_XY': -0.7500000000000001, 'H_RF': -0.7500000000000001}"
61,"{'1111': 3, '1010': 73, '1101': 41, '0110': 180, '1000': 25, '1100': 52, '0101': 52, '1001': 112, '0001': 126, '1110': 167, '0100': 57, '1011': 9, '0011': 13, '0111': 4, '0010': 64, '0000': 22}","{'H_AFM': 0.178, 'H_FM': 0.178, 'H_TF': 0.178, 'H_XY': 0.178, 'H_RF': 0.178}"
62,"{'1100': 5, '0001': 2, '1010': 2, '1011': 72, '0011': 140, '0111': 1, '1001': 49, '0101': 97, '1110': 150, '1000': 110, '0110': 91, '1101': 75, '0100': 46, '0000': 87, '0010': 27, '1111': 46}","{'H_AFM': -0.061999999999999944, 'H_FM': -0.061999999999999944, 'H_TF': -0.061999999999999944, 'H_XY': -0.061999999999999944, 'H_RF': -0.061999999999999944}"
63,"{'1101': 2, '1011': 7, '1010': 23, '1110': 136, '0101': 1, '1001': 214, '1100': 73, '0001': 171, '1111': 57, '0011': 12, '0111': 33, '0100': 57, '1000': 39, '0110': 124, '0010': 20, '0000': 31}","{'H_AFM': 0.11399999999999999, 'H_FM': 0.11399999999999999, 'H_TF': 0.11399999999999999, 'H_XY': 0.11399999999999999, 'H_RF': 0.11399999999999999}"
64,"{'1111': 4, '1101': 6, '1010': 117, '0110': 260, '1000': 68, '1100': 70, '0010': 275, '0000': 11, '1011': 11, '0111': 26, '0011': 23, '1110': 90, '1001': 9, '0101': 2, '0100': 28}","{'H_AFM': 0.504, 'H_FM': 0.504, 'H_TF': 0.504, 'H_XY': 0.504, 'H_RF': 0.504}"
65,"{'1011': 183, '0111': 2, '0011': 14, '1010': 233, '0110': 3, '1000': 216, '1100': 35, '0101': 1, '1001': 151, '1111': 30, '0001': 10, '1110': 49, '0010': 18, '0000': 24, '1101': 28, '0100': 3}","{'H_AFM': -0.054000000000000006, 'H_FM': -0.054000000000000006, 'H_TF': -0.054000000000000006, 'H_XY': -0.054000000000000006, 'H_RF': -0.054000000000000006}"
66,"{'1011': 1, '0001': 1, '1010': 208, '1100': 374, '1101': 206, '1000': 9, '0110': 4, '1111': 39, '0100': 43, '1001': 13, '0101': 29, '1110': 50, '0010': 17, '0000': 1, '0111': 5}","{'H_AFM': -0.5359999999999999, 'H_FM': -0.5359999999999999, 'H_TF': -0.5359999999999999, 'H_XY': -0.5359999999999999, 'H_RF': -0.5359999999999999}"
